chunks,entities,assertion
Lung Volume Reduction Surgery,Procedure,present
lung volume reduction surgery,Procedure,present
LVRS,Procedure,present
LVRS,Procedure,present
severe,Modifier,present
emphysema,Disease_Syndrome_Disorder,present
disabling,Modifier,present
dyspnea,Symptom,present
severe,Modifier,present
air trapping,Symptom,present
National Emphysema,Disease_Syndrome_Disorder,present
cardiac ejection fraction,Test,present
less than 45 %,Test_Result,present
congestive heart failure,Heart_Disease,absent
myocardial infarction,Heart_Disease,absent
6 months,RelativeDate,absent
emphysema,Disease_Syndrome_Disorder,possible
smoked,Smoking,absent
for 4 or more months,Duration,absent
CT scan,Test,hypothetical
bilateral,Direction,hypothetical
emphysema,Disease_Syndrome_Disorder,hypothetical
Forced expiratory volume,Test,hypothetical
FEV1,Test,hypothetical
maximum of pre-,Test_Result,hypothetical
post-bronchodilator values,Test,hypothetical
less than or equal to 45 %,Test_Result,present
aged 70 year,Age,hypothetical
FEV1,Test,hypothetical
15 % of predicted or more,Test_Result,present
Plasma cotinine,Test,hypothetical
less than or equal to 13.7 ng/ml,Test_Result,absent
nicotine,Substance,hypothetical
carboxyhemoglobin,Test,hypothetical
less than or equal to 2.5 %,Test_Result,hypothetical
nicotine products,Drug_Ingredient,hypothetical
Post-bronchodilator total lung capacity,Test,hypothetical
TLC,Test,hypothetical
greater than or equal to 100 %,Test_Result,hypothetical
RV,Test,hypothetical
greater than or equal to 150 % of predicted value,Test_Result,hypothetical
Resting partial pressure of carbon dioxide,Test,hypothetical
PaCO2,Test,hypothetical
less than or equal to 60 mm Hg on room air,Test_Result,present
Resting partial pressure of oxygen,Test,present
PaO2,Test,hypothetical
45 mm Hg,Test_Result,hypothetical
greater,Test_Result,hypothetical
Six-minute walk test,Test,hypothetical
greater than 140 meters,Test_Result,hypothetical
Lung volume reduction surgery,Procedure,present
Post-bronchodilator FEV1,Test,hypothetical
20 %,Test_Result,possible
carbon monoxide diffusion capacity,Test,present
DLCO,Test,present
20 %,Test_Result,present
Persons,Gender,present
death,Death_Entity,possible
LVRS,Procedure,possible
emphysema,Disease_Syndrome_Disorder,present
CT scan,Test,present
predominantly,Modifier,present
non-upper lobe emphysema,Disease_Syndrome_Disorder,present
high maximal work-load,Symptom,present
after 3 mins,RelativeTime,associated_with_someone_else
women,Gender,present
men,Gender,present
non-upper lobe,Internal_organ_or_component,present
emphysema,Disease_Syndrome_Disorder,present
CT,Test,present
radiologist,Employment,present
upper lobes of the lung,Internal_organ_or_component,present
lower lobe,Internal_organ_or_component,present
diffuse,Modifier,present
superior segments,Internal_organ_or_component,possible
lower lobes,Internal_organ_or_component,present
Persons,Gender,present
predominantly,Modifier,present
non-upper-lobe,Modifier,present
emphysema,Disease_Syndrome_Disorder,present
LVRS,Procedure,present
Alpha-1 antitrypsin deficiency,Disease_Syndrome_Disorder,possible
Clinically,Modifier,present
significant,Modifier,present
bronchiectasis,Disease_Syndrome_Disorder,present
systemic disease,Disease_Syndrome_Disorder,associated_with_someone_else
neoplasia,Oncological,associated_with_someone_else
"compromise survival
Giant bulla",Symptom,possible
lung,Internal_organ_or_component,present
bulla,Internal_organ_or_component,present
recurrent,Modifier,present
infections,Disease_Syndrome_Disorder,present
clinically,Modifier,present
significant,Modifier,present
production of sputum,Symptom,present
Oxygen,Oxygen_Therapy,present
6 L/min,Dosage,present
90 %,Strength,present
Pleural or interstitial disease,Disease_Syndrome_Disorder,present
lobectomy,Procedure,present
LVRS,Procedure,present
laser,Medical_Device,present
excision,Procedure,possible
Pulmonary hypertension,Heart_Disease,present
mean pulmonary artery pressure,Test,present
35 mm Hg,Test_Result,present
right,Direction,absent
heart catheterization,Procedure,present
peak systolic pulmonary artery pressure,Test,present
45 mm Hg,Test_Result,possible
Right,Direction,present
heart catheterization,Procedure,present
pulmonary hypertension,Heart_Disease,possible
peak systolic pulmonary artery pressure,Test,present
greater than 45 mm Hg,Test_Result,present
echocardiogram,Test,possible
Pulmonary nodule,Symptom,present
Resting,Modifier,present
bradycardia,VS_Finding,present
less than 50 beats/min,Modifier,present
frequent,Modifier,present
multifocal premature ventricular contractions,EKG_Findings,present
PVCs,Heart_Disease,present
complex ventricular arrhythmia,Heart_Disease,present
sustained,Modifier,present
supraventricular tachycardia,Heart_Disease,present
SVT,Heart_Disease,present
Uncontrolled,Modifier,present
hypertension,Hypertension,present
Unplanned,Modifier,present
weight loss,Symptom,present
within 3 months prior,RelativeDate,hypothetical
lung volume reduction surgery,Procedure,present
bullectomy,Procedure,present
dyspneic,Symptom,present
giant,Modifier,present
bulbous emphysema,Disease_Syndrome_Disorder,present
single large bulla,Symptom,present
significant,Modifier,present
respiratory compromise,Symptom,present
FEV1,Test,present
less than 50 %,Test_Result,present
video-assisted thoracoscopic,Procedure,present
VATS,Procedure,present
pneumothorax,Disease_Syndrome_Disorder,absent
thoracoscopic bullectomy,Procedure,present
primary,Modifier,present
spontaneous pneumothorax,Disease_Syndrome_Disorder,present
bullectomy,Procedure,present
thoracoscopic laser bullectomy,Procedure,present
emphysematous lung disease,Disease_Syndrome_Disorder,possible
thoracoscopic laser surgery,Procedure,present
decreased symptoms and improved pulmonary function,Symptom,present
endobronchial valve,Medical_Device,present
Spiration Valve System,Medical_Device,present
Zephyr Valve System,Medical_Device,present
bronchoscopic treatment,Procedure,present
hyperinflation,Symptom,present
severe,Modifier,present
emphysema in regions of the lung,Disease_Syndrome_Disorder,present
collateral ventilation,Oxygen_Therapy,absent
bronchoscopic lung volume reduction procedures,Procedure,present
emphysema,Disease_Syndrome_Disorder,present
Biologic lung volume reduction,Procedure,possible
Aeris Therapeutics,Medical_Device,present
Woburn,Medical_Device,absent
MA,Medical_Device,absent
Biologic Lung Volume Reduction,Procedure,present
BLVR,Procedure,present
System,Medical_Device,present
bronchoscopic thermal vapor ablation,Procedure,present
emphysema,Disease_Syndrome_Disorder,present
Lung volume reduction surgery,Procedure,present
LVRS,Procedure,present
advanced,Modifier,present
chronic obstructive pulmonary disease,Disease_Syndrome_Disorder,possible
COPD,Disease_Syndrome_Disorder,present
emphysema,Disease_Syndrome_Disorder,present
emphysema,Disease_Syndrome_Disorder,present
excision of large bullae,Procedure,present
thoracotomy,Procedure,possible
thoracoscopy,Procedure,possible
resection of diffusely emphysematous lung tissue,Procedure,present
