chunks,begin,end,sentence_id,entities
Lung Volume Reduction Surgery,0,28,0,Procedure
lung volume reduction surgery,54,82,2,Procedure
LVRS,85,88,2,Procedure
LVRS,359,362,4,Procedure
severe,376,381,4,Modifier
emphysema,383,391,4,Disease_Syndrome_Disorder
disabling,394,402,4,Modifier
dyspnea,404,410,4,Symptom
severe,429,434,4,Modifier
air trapping,436,447,4,Symptom
National Emphysema,513,530,5,Disease_Syndrome_Disorder
cardiac ejection fraction,583,607,6,Test
less than 45 %,609,622,6,Test_Result
congestive heart failure,648,671,6,Heart_Disease
myocardial infarction,676,696,6,Heart_Disease
6 months,705,712,6,RelativeDate
emphysema,814,822,7,Disease_Syndrome_Disorder
smoked,848,853,8,Smoking
for 4 or more months,855,874,8,Duration
CT scan,944,950,9,Test
bilateral,964,972,9,Direction
emphysema,974,982,9,Disease_Syndrome_Disorder
Forced expiratory volume,989,1012,9,Test
FEV1,1027,1030,9,Test
maximum of pre-,1034,1048,9,Test_Result
post-bronchodilator values,1054,1079,9,Test
less than or equal to 45 %,1082,1107,9,Test_Result
aged 70 year,1130,1141,9,Age
FEV1,1153,1156,9,Test
15 % of predicted or more,1158,1182,9,Test_Result
Plasma cotinine,1189,1203,9,Test
less than or equal to 13.7 ng/ml,1205,1236,9,Test_Result
nicotine,1252,1259,9,Substance
carboxyhemoglobin,1274,1290,9,Test
less than or equal to 2.5 %,1292,1318,9,Test_Result
nicotine products,1330,1346,9,Drug_Ingredient
Post-bronchodilator total lung capacity,1354,1392,9,Test
TLC,1395,1397,9,Test
greater than or equal to 100 %,1400,1429,9,Test_Result
RV,1475,1476,9,Test
greater than or equal to 150 % of predicted value,1479,1527,9,Test_Result
Resting partial pressure of carbon dioxide,1534,1575,9,Test
PaCO2,1578,1582,9,Test
less than or equal to 60 mm Hg on room air,1585,1626,9,Test_Result
Resting partial pressure of oxygen,1633,1666,9,Test
PaO2,1669,1672,9,Test
45 mm Hg,1675,1682,9,Test_Result
greater,1687,1693,9,Test_Result
Six-minute walk test,1700,1719,9,Test
greater than 140 meters,1721,1743,9,Test_Result
Lung volume reduction surgery,1746,1774,10,Procedure
Post-bronchodilator FEV1,1885,1908,10,Test
20 %,1913,1916,10,Test_Result
carbon monoxide diffusion capacity,1976,2009,11,Test
DLCO,2012,2015,11,Test
20 %,2021,2024,11,Test_Result
Persons,2062,2068,12,Gender
death,2126,2130,12,Death_Entity
LVRS,2138,2141,12,Procedure
emphysema,2219,2227,13,Disease_Syndrome_Disorder
CT scan,2232,2238,13,Test
predominantly,2257,2269,13,Modifier
non-upper lobe emphysema,2271,2294,13,Disease_Syndrome_Disorder
high maximal work-load,2302,2323,13,Symptom
after 3 mins,2468,2479,14,RelativeTime
women,2610,2614,14,Gender
men,2626,2628,14,Gender
non-upper lobe,2675,2688,15,Internal_organ_or_component
emphysema,2706,2714,15,Disease_Syndrome_Disorder
CT,2749,2750,15,Test
radiologist,2774,2784,15,Employment
upper lobes of the lung,2813,2835,15,Internal_organ_or_component
lower lobe,2896,2905,15,Internal_organ_or_component
diffuse,2908,2914,15,Modifier
superior segments,2948,2964,15,Internal_organ_or_component
lower lobes,2973,2983,15,Internal_organ_or_component
Persons,2993,2999,15,Gender
predominantly,3006,3018,15,Modifier
non-upper-lobe,3020,3033,15,Modifier
emphysema,3035,3043,15,Disease_Syndrome_Disorder
LVRS,3120,3123,15,Procedure
Alpha-1 antitrypsin deficiency,3336,3365,16,Disease_Syndrome_Disorder
Clinically,3367,3376,17,Modifier
significant,3378,3388,17,Modifier
bronchiectasis,3390,3403,17,Disease_Syndrome_Disorder
systemic disease,3417,3432,18,Disease_Syndrome_Disorder
neoplasia,3437,3445,18,Oncological
"compromise survival
Giant bulla",3467,3497,18,Symptom
lung,3535,3538,18,Internal_organ_or_component
bulla,3553,3557,18,Internal_organ_or_component
recurrent,3582,3590,19,Modifier
infections,3592,3601,19,Disease_Syndrome_Disorder
clinically,3608,3617,19,Modifier
significant,3619,3629,19,Modifier
production of sputum,3631,3650,19,Symptom
Oxygen,3652,3657,20,Oxygen_Therapy
6 L/min,3684,3690,20,Dosage
90 %,3758,3761,20,Strength
Pleural or interstitial disease,3763,3793,21,Disease_Syndrome_Disorder
lobectomy,3828,3836,22,Procedure
LVRS,3847,3850,23,Procedure
laser,3853,3857,23,Medical_Device
excision,3862,3869,23,Procedure
Pulmonary hypertension,3872,3893,24,Heart_Disease
mean pulmonary artery pressure,3907,3936,24,Test
35 mm Hg,3941,3948,24,Test_Result
right,3964,3968,24,Direction
heart catheterization,3970,3990,24,Procedure
peak systolic pulmonary artery pressure,3995,4033,24,Test
45 mm Hg,4038,4045,24,Test_Result
Right,4061,4065,25,Direction
heart catheterization,4067,4087,25,Procedure
pulmonary hypertension,4113,4134,25,Heart_Disease
peak systolic pulmonary artery pressure,4139,4177,25,Test
greater than 45 mm Hg,4182,4202,25,Test_Result
echocardiogram,4207,4220,25,Test
Pulmonary nodule,4223,4238,26,Symptom
Resting,4258,4264,27,Modifier
bradycardia,4266,4276,27,VS_Finding
less than 50 beats/min,4279,4300,27,Modifier
frequent,4304,4311,27,Modifier
multifocal premature ventricular contractions,4313,4357,27,EKG_Findings
PVCs,4360,4363,27,Heart_Disease
complex ventricular arrhythmia,4370,4399,27,Heart_Disease
