relation,entity1,entity1_begin,entity1_end,chunk1,entity2,entity2_begin,entity2_end,chunk2,confidence
TrAP,Procedure,359,362,LVRS,Modifier,429,434,severe,0.5312895
PIP,Modifier,376,381,severe,Disease_Syndrome_Disorder,383,391,emphysema,0.86808795
PIP,Modifier,376,381,severe,Modifier,394,402,disabling,0.6990426
PIP,Modifier,376,381,severe,Modifier,429,434,severe,0.85846585
PIP,Modifier,376,381,severe,Symptom,436,447,air trapping,0.8673627
PIP,Disease_Syndrome_Disorder,383,391,emphysema,Modifier,429,434,severe,0.7654061
PIP,Disease_Syndrome_Disorder,383,391,emphysema,Symptom,436,447,air trapping,0.519238
PIP,Modifier,429,434,severe,Symptom,436,447,air trapping,0.93625426
TeRP,Test,583,607,cardiac ejection fraction,Test_Result,609,622,less than 45 %,0.50752485
TeRP,Test,944,950,CT scan,Direction,964,972,bilateral,0.9980592
TeRP,Test,944,950,CT scan,Disease_Syndrome_Disorder,974,982,emphysema,0.9980483
TeRP,Test,944,950,CT scan,Test,989,1012,Forced expiratory volume,0.95968187
TeRP,Test,944,950,CT scan,Test,1027,1030,FEV1,0.9574054
TeRP,Test,944,950,CT scan,Test_Result,1034,1048,maximum of pre-,0.9851301
TeRP,Test,944,950,CT scan,Test,1054,1079,post-bronchodilator values,0.9717927
TeRP,Test,944,950,CT scan,Test_Result,1082,1107,less than or equal to 45 %,0.98055696
TeRP,Test,944,950,CT scan,Age,1130,1141,aged 70 year,0.9844093
TeRP,Test,944,950,CT scan,Test,1153,1156,FEV1,0.92545986
TeRP,Test,944,950,CT scan,Test_Result,1158,1182,15 % of predicted or more,0.8255848
TeRP,Test,944,950,CT scan,Test,1189,1203,Plasma cotinine,0.543526
TeRP,Test,944,950,CT scan,Test_Result,1205,1236,less than or equal to 13.7 ng/ml,0.8960461
TeRP,Test,944,950,CT scan,Test,1274,1290,carboxyhemoglobin,0.94679785
TeRP,Test,944,950,CT scan,Test_Result,1292,1318,less than or equal to 2.5 %,0.9443872
TeRP,Test,944,950,CT scan,Drug_Ingredient,1330,1346,nicotine products,0.9921185
TeRP,Test,944,950,CT scan,Test,1354,1392,Post-bronchodilator total lung capacity,0.9936407
TeRP,Test,944,950,CT scan,Test,1395,1397,TLC,0.9946161
TeRP,Test,944,950,CT scan,Test_Result,1400,1429,greater than or equal to 100 %,0.99148214
TeRP,Test,944,950,CT scan,Test,1475,1476,RV,0.99231696
TeRP,Test,944,950,CT scan,Test_Result,1479,1527,greater than or equal to 150 % of predicted value,0.99179745
TeRP,Test,944,950,CT scan,Test,1534,1575,Resting partial pressure of carbon dioxide,0.99099594
TeRP,Test,944,950,CT scan,Test,1578,1582,PaCO2,0.99039197
TeRP,Test,944,950,CT scan,Test_Result,1585,1626,less than or equal to 60 mm Hg on room air,0.9925012
TeRP,Test,944,950,CT scan,Test,1633,1666,Resting partial pressure of oxygen,0.9946326
TeRP,Test,944,950,CT scan,Test,1669,1672,PaO2,0.9800229
TeRP,Test,944,950,CT scan,Test_Result,1675,1682,45 mm Hg,0.9855049
TeRP,Test,944,950,CT scan,Test_Result,1687,1693,greater,0.9956338
TeRP,Test,944,950,CT scan,Test,1700,1719,Six-minute walk test,0.99171
TeRP,Test,944,950,CT scan,Test_Result,1721,1743,greater than 140 meters,0.99663395
PIP,Direction,964,972,bilateral,Disease_Syndrome_Disorder,974,982,emphysema,0.9159206
TeRP,Direction,964,972,bilateral,Test,989,1012,Forced expiratory volume,0.88155437
TeRP,Direction,964,972,bilateral,Test,1027,1030,FEV1,0.7795377
TeRP,Direction,964,972,bilateral,Test_Result,1034,1048,maximum of pre-,0.77355295
TeRP,Direction,964,972,bilateral,Test,1054,1079,post-bronchodilator values,0.86511934
TeRP,Direction,964,972,bilateral,Test,1189,1203,Plasma cotinine,0.8045753
TeRP,Direction,964,972,bilateral,Test_Result,1205,1236,less than or equal to 13.7 ng/ml,0.54163945
PIP,Direction,964,972,bilateral,Drug_Ingredient,1330,1346,nicotine products,0.67287993
PIP,Direction,964,972,bilateral,Test,1354,1392,Post-bronchodilator total lung capacity,0.58071357
PIP,Direction,964,972,bilateral,Test,1475,1476,RV,0.5380618
PIP,Direction,964,972,bilateral,Test,1578,1582,PaCO2,0.5779118
PIP,Direction,964,972,bilateral,Test,1633,1666,Resting partial pressure of oxygen,0.5508773
PIP,Direction,964,972,bilateral,Test_Result,1675,1682,45 mm Hg,0.7363941
PIP,Direction,964,972,bilateral,Test_Result,1687,1693,greater,0.537806
TeRP,Disease_Syndrome_Disorder,974,982,emphysema,Test,1027,1030,FEV1,0.51888365
TeRP,Disease_Syndrome_Disorder,974,982,emphysema,Test_Result,1082,1107,less than or equal to 45 %,0.59334713
TeRP,Disease_Syndrome_Disorder,974,982,emphysema,Test_Result,1205,1236,less than or equal to 13.7 ng/ml,0.64793164
PIP,Disease_Syndrome_Disorder,974,982,emphysema,Drug_Ingredient,1330,1346,nicotine products,0.54834074
PIP,Disease_Syndrome_Disorder,974,982,emphysema,Test,1475,1476,RV,0.72786975
PIP,Disease_Syndrome_Disorder,974,982,emphysema,Test_Result,1585,1626,less than or equal to 60 mm Hg on room air,0.59716606
TeRP,Test,1976,2009,carbon monoxide diffusion capacity,Test_Result,2021,2024,20 %,0.5063756
PIP,Gender,2062,2068,Persons,Death_Entity,2126,2130,death,0.88045543
TrCP,Gender,2062,2068,Persons,Procedure,2138,2141,LVRS,0.8025706
TrCP,Death_Entity,2126,2130,death,Procedure,2138,2141,LVRS,0.9314979
TeRP,Disease_Syndrome_Disorder,2219,2227,emphysema,Test,2232,2238,CT scan,0.97602934
PIP,Disease_Syndrome_Disorder,2219,2227,emphysema,Modifier,2257,2269,predominantly,0.879681
PIP,Disease_Syndrome_Disorder,2219,2227,emphysema,Disease_Syndrome_Disorder,2271,2294,non-upper lobe emphysema,0.8482752
TeRP,Test,2232,2238,CT scan,Modifier,2257,2269,predominantly,0.8419575
TeRP,Test,2232,2238,CT scan,Disease_Syndrome_Disorder,2271,2294,non-upper lobe emphysema,0.8200451
TeRP,Test,2232,2238,CT scan,Symptom,2302,2323,high maximal work-load,0.8578879
PIP,Modifier,2257,2269,predominantly,Disease_Syndrome_Disorder,2271,2294,non-upper lobe emphysema,0.78709257
PIP,Modifier,2257,2269,predominantly,Symptom,2302,2323,high maximal work-load,0.6066094
PIP,Disease_Syndrome_Disorder,2271,2294,non-upper lobe emphysema,Symptom,2302,2323,high maximal work-load,0.764634
PIP,Internal_organ_or_component,2675,2688,non-upper lobe,Disease_Syndrome_Disorder,2706,2714,emphysema,0.92192453
TeRP,Internal_organ_or_component,2675,2688,non-upper lobe,Test,2749,2750,CT,0.8835795
TeRP,Internal_organ_or_component,2675,2688,non-upper lobe,Employment,2774,2784,radiologist,0.7156729
PIP,Internal_organ_or_component,2675,2688,non-upper lobe,Internal_organ_or_component,2813,2835,upper lobes of the lung,0.88499844
PIP,Internal_organ_or_component,2675,2688,non-upper lobe,Internal_organ_or_component,2896,2905,lower lobe,0.8762028
PIP,Internal_organ_or_component,2675,2688,non-upper lobe,Modifier,2908,2914,diffuse,0.7768066
PIP,Internal_organ_or_component,2675,2688,non-upper lobe,Internal_organ_or_component,2948,2964,superior segments,0.85349536
PIP,Internal_organ_or_component,2675,2688,non-upper lobe,Internal_organ_or_component,2973,2983,lower lobes,0.8121434
PIP,Internal_organ_or_component,2675,2688,non-upper lobe,Gender,2993,2999,Persons,0.8781354
PIP,Internal_organ_or_component,2675,2688,non-upper lobe,Modifier,3006,3018,predominantly,0.95242393
PIP,Internal_organ_or_component,2675,2688,non-upper lobe,Modifier,3020,3033,non-upper-lobe,0.93142116
PIP,Internal_organ_or_component,2675,2688,non-upper lobe,Disease_Syndrome_Disorder,3035,3043,emphysema,0.8744307
PIP,Internal_organ_or_component,2675,2688,non-upper lobe,Procedure,3120,3123,LVRS,0.9085852
TeRP,Disease_Syndrome_Disorder,2706,2714,emphysema,Test,2749,2750,CT,0.7725147
TeRP,Disease_Syndrome_Disorder,2706,2714,emphysema,Employment,2774,2784,radiologist,0.58636326
PIP,Disease_Syndrome_Disorder,2706,2714,emphysema,Internal_organ_or_component,2813,2835,upper lobes of the lung,0.965153
PIP,Disease_Syndrome_Disorder,2706,2714,emphysema,Internal_organ_or_component,2896,2905,lower lobe,0.95008796
PIP,Disease_Syndrome_Disorder,2706,2714,emphysema,Modifier,2908,2914,diffuse,0.87502307
PIP,Disease_Syndrome_Disorder,2706,2714,emphysema,Internal_organ_or_component,2948,2964,superior segments,0.89348936
PIP,Disease_Syndrome_Disorder,2706,2714,emphysema,Internal_organ_or_component,2973,2983,lower lobes,0.88786113
PIP,Disease_Syndrome_Disorder,2706,2714,emphysema,Gender,2993,2999,Persons,0.89461166
PIP,Disease_Syndrome_Disorder,2706,2714,emphysema,Modifier,3006,3018,predominantly,0.9695962
PIP,Disease_Syndrome_Disorder,2706,2714,emphysema,Modifier,3020,3033,non-upper-lobe,0.95090735
PIP,Disease_Syndrome_Disorder,2706,2714,emphysema,Disease_Syndrome_Disorder,3035,3043,emphysema,0.9441167
PIP,Disease_Syndrome_Disorder,2706,2714,emphysema,Procedure,3120,3123,LVRS,0.9765652
TeRP,Test,2749,2750,CT,Employment,2774,2784,radiologist,0.9410276
TeRP,Test,2749,2750,CT,Internal_organ_or_component,2813,2835,upper lobes of the lung,0.93316287
TeRP,Test,2749,2750,CT,Internal_organ_or_component,2896,2905,lower lobe,0.91238785
TeRP,Test,2749,2750,CT,Modifier,2908,2914,diffuse,0.91178834
TeRP,Test,2749,2750,CT,Internal_organ_or_component,2948,2964,superior segments,0.9049268
