relation,entity1,entity1_begin,entity1_end,chunk1,entity2,entity2_begin,entity2_end,chunk2,confidence
OVERLAP,TREATMENT,54,82,lung volume reduction surgery,TREATMENT,85,88,LVRS,0.9993142
OVERLAP,TEST,190,213,pre-operative assessment,TEST,219,226,criteria,0.9999995
AFTER,TEST,190,213,pre-operative assessment,OCCURRENCE,250,257,evolving,0.97522503
OVERLAP,TEST,219,226,criteria,TREATMENT,232,238,surgery,0.9999821
AFTER,TREATMENT,232,238,surgery,OCCURRENCE,250,257,evolving,0.9350462
BEFORE,TREATMENT,359,362,LVRS,PROBLEM,394,410,disabling dyspnea,0.9997887
OVERLAP,PROBLEM,376,391,severe emphysema,PROBLEM,394,410,disabling dyspnea,1.0
OVERLAP,PROBLEM,394,410,disabling dyspnea,PROBLEM,429,447,severe air trapping,1.0
OVERLAP,PROBLEM,648,671,congestive heart failure,PROBLEM,676,696,myocardial infarction,1.0
OVERLAP,PROBLEM,676,696,myocardial infarction,DURATION,705,712,6 months,0.9999819
BEFORE,TEST,777,796,physical examination,PROBLEM,814,822,emphysema,0.99566454
BEFORE,TEST,920,940,pre-operative work-up,PROBLEM,964,982,bilateral emphysema,0.99990034
OVERLAP,TEST,920,940,pre-operative work-up,TEST,1034,1040,maximum,0.9546217
BEFORE,TEST,944,950,CT scan,PROBLEM,964,982,bilateral emphysema,0.9999988
OVERLAP,TEST,989,1012,Forced expiratory volume,TEST,1027,1030,FEV1,1.0
OVERLAP,TEST,989,1012,Forced expiratory volume,TEST,1034,1040,maximum,1.0
OVERLAP,TEST,989,1012,Forced expiratory volume,TEST,1542,1582,partial pressure of carbon dioxide (PaCO2,0.9972747
OVERLAP,TEST,1027,1030,FEV1,TEST,1034,1040,maximum,1.0
OVERLAP,TEST,1034,1040,maximum,TEST,1054,1079,post-bronchodilator values,0.9994497
OVERLAP,TEST,1034,1040,maximum,TEST,1542,1582,partial pressure of carbon dioxide (PaCO2,0.9943809
OVERLAP,TEST,1034,1040,maximum,TEST,1633,1666,Resting partial pressure of oxygen,0.9984806
OVERLAP,TEST,1153,1156,FEV1,TEST,1189,1203,Plasma cotinine,1.0
OVERLAP,TREATMENT,1252,1268,nicotine products,TEST,1274,1290,carboxyhemoglobin,0.9999999
OVERLAP,TREATMENT,1330,1346,nicotine products,TEST,1354,1392,Post-bronchodilator total lung capacity,0.9998192
OVERLAP,TEST,1458,1472,residual volume,TEST,1475,1476,RV,1.0
OVERLAP,TEST,1542,1582,partial pressure of carbon dioxide (PaCO2,TEST,1633,1666,Resting partial pressure of oxygen,0.9997861
OVERLAP,TEST,1542,1582,partial pressure of carbon dioxide (PaCO2,TEST,1669,1672,PaO2,1.0
OVERLAP,TEST,1633,1666,Resting partial pressure of oxygen,TEST,1669,1672,PaO2,1.0
OVERLAP,TEST,1974,2009,A carbon monoxide diffusion capacity,TEST,2012,2015,DLCO,1.0
BEFORE,PROBLEM,2219,2227,emphysema,TEST,2232,2238,CT scan,0.9998512
